year,Name,Rank,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2011,Aarhus University,167,,,,,,49.9,38.1,55.6,57.3,61.5,33.4
2011,Alexandria University,147,,,,,,51.6,29.5,28.0,99.8,36.0,19.3
2011,Arizona State University (Tempe),161,,,,,,50.3,43.0,44.1,66.9,-,24.1
2011,Australian National University,43,,,,,,67.0,51.9,62.4,81.0,-,93.9
2011,Bielefeld University,173,,,,,,49.3,39.9,35.7,70.4,-,-
2011,Bilkent University,112,,,,,,55.4,34.3,36.1,95.7,32.4,47.7
2011,"Birkbeck, University of London",152,,,,,,51.2,41.2,35.8,70.6,27.4,88.5
2011,Boston College,161,,,,,,50.3,40.1,33.6,78.0,-,31.6
2011,Boston University,59,,,,,,64.0,53.6,51.9,91.4,29.6,38.1
2011,Brown University,55,,,,,,64.9,59.7,57.0,77.7,-,60.5
2011,California Institute of Technology,2,,,,,,96.0,97.7,98.0,99.9,83.7,54.6
2011,Carnegie Mellon University,20,,,,,,79.3,70.3,79.3,95.7,53.7,39.1
2011,Case Western Reserve University,65,,,,,,62.2,67.2,53.8,66.0,-,56.5
2011,Columbia University,18,,,,,,81.0,73.8,73.8,92.6,-,90.9
2011,Cornell University,14,,,,,,83.9,82.2,88.8,88.1,34.7,62.4
2011,Dalhousie University,193,,,,,,46.8,41.6,50.2,48.8,-,44.9
2011,Dartmouth College,99,,,,,,57.1,44.7,49.2,79.7,-,31.0
2011,Delft University of Technology,151,,,,,,51.3,55.5,67.7,29.0,99.4,47.4
2011,Drexel University,190,,,,,,46.9,45.0,35.9,58.2,27.4,60.6
2011,Duke University,24,,,,,,76.5,66.8,71.5,92.3,100.0,49.4
2011,Durham University,85,,,,,,58.9,39.8,44.1,91.0,33.9,65.7
2011,ETH Zurich,15,,,,,,83.4,77.5,87.8,83.1,-,93.7
2011,Eindhoven University of Technology,114,,,,,,55.3,55.4,51.7,56.9,99.8,44.9
2011,Emory University,61,,,,,,63.0,63.4,48.4,77.8,-,52.3
2011,Erasmus University Rotterdam,159,,,,,,50.4,39.4,43.6,65.5,-,58.6
